customer_id,first_name,last_name,email,phone,home_location_id,loyalty_tier,signup_date,marketing_opt_in,updated_at
1,Austin,Roberts,austin.roberts@example.net,737-555-9083,15,Bronze,2026-05-24,True,2026-06-21 11:22:57+00
2,Ximena,Baker,ximena.baker45@example.org,469-555-5991,7,Bronze,2025-10-04,True,2025-11-27 11:39:17+00
3,Austin,Davis,austin.davis39@example.net,281-555-5923,20,Bronze,2026-05-17,True,2026-06-10 14:53:49+00
4,Noah,Carter,noah.carter95@example.com,210-555-6969,18,Bronze,2025-07-09,True,2025-07-09 09:45:40+00
5,Olivia,Turner,olivia.turner@example.org,737-555-1415,15,Bronze,2024-08-09,True,2024-08-09 18:25:27+00
6,Tuan,Lewis,tuan.lewis@example.com,281-555-1732,4,Bronze,2026-04-15,True,2026-05-23 08:20:14+00
7,Caleb,Flores,caleb.flores@example.com,469-555-1078,9,Bronze,2024-05-27,False,2025-06-23 17:53:26+00
8,Margot,Jackson,margot.jackson31@example.net,281-555-6678,1,Bronze,2024-11-20,True,2024-11-20 08:09:30+00
9,Marcus,Adams,marcus.adams@example.org,832-555-5038,3,Bronze,2023-12-21,True,2023-12-21 11:18:03+00
10,Colton,Hill,colton.hill31@example.org,737-555-1246,14,Bronze,2024-11-26,True,2025-02-10 00:10:30+00
11,Brianna,Broussard,brianna.broussard36@example.net,737-555-7158,15,Bronze,2023-12-24,True,2025-10-07 02:23:38+00
12,Ethan,Harris,ethan.harris72@example.net,210-555-4793,19,Silver,2024-10-29,True,2025-06-07 15:40:46+00
13,Daniel,Thibodeaux,daniel.thibodeaux98@example.com,214-555-1610,7,Bronze,2025-05-14,True,2025-08-25 01:54:20+00
14,Mia,Ramirez,mia.ramirez75@example.net,972-555-5927,7,Bronze,2026-02-06,False,2026-02-06 15:28:11+00
15,Minh,Jackson,minh.jackson82@example.net,469-555-3382,10,Gold,2024-04-15,False,2026-05-25 04:57:59+00
16,Grace,LeBlanc,grace.leblanc95@example.org,281-555-1082,4,Bronze,2023-12-20,True,2024-10-04 10:43:25+00
17,Andrew,Perez,andrew.perez43@example.net,832-555-2302,3,Gold,2025-03-11,True,2025-09-05 01:23:49+00
18,Carmen,Kumar,carmen.kumar8@example.org,972-555-7842,10,Gold,2024-10-10,False,2025-07-30 01:26:14+00
19,Olivia,Diaz,olivia.diaz@example.net,281-555-1458,5,Bronze,2026-03-16,True,2026-03-16 10:25:55+00
20,Linh,Le,linh.le76@example.org,512-555-4584,13,Bronze,2023-01-28,True,2023-01-28 10:37:23+00
21,Emily,Morales,emily.morales@example.net,469-555-7242,9,Silver,2023-05-01,True,2024-09-04 01:53:33+00
22,Noah,Nelson,noah.nelson@example.net,726-555-3972,17,Bronze,2023-01-09,True,2025-06-16 13:19:31+00
23,Daniel,Baker,daniel.baker@example.org,512-555-3242,14,Bronze,2025-07-20,True,2025-07-20 08:36:37+00
24,Santiago,Fontenot,santiago.fontenot@example.org,832-555-2535,6,Silver,2025-07-22,False,2025-07-22 08:44:17+00
25,Andre,Harris,ANDRE.HARRIS96@EXAMPLE.ORG,210-555-2407,17,Bronze,2023-03-16,True,2025-02-17 07:48:16+00
26,Aaliyah,Hernandez,aaliyah.hernandez@example.net,210-555-6012,16,Silver,2023-02-20,True,2025-10-21 21:05:03+00
27,Margot,McAllister,margot.mcallister7@example.org,972-555-9519,8,Silver,2025-05-06,True,2025-05-06 11:21:44+00
28,James,Perez,james.perez72@example.net,281-555-6589,6,Bronze,2026-01-16,True,2026-05-31 23:07:24+00
29,Ashley,Adams,ashley.adams@example.org,737-555-0642,14,Silver,2023-12-05,False,2023-12-05 09:00:54+00
30,Grace,Green,grace.green@example.com,713-555-7061,3,Silver,2024-11-05,False,2024-11-05 19:12:25+00
31,Andre,Hernandez,andre.hernandez5@example.com,281-555-9082,4,Bronze,2023-09-17,False,2023-10-12 21:04:47+00
32,Jamal,Smith,jamal.smith43@example.net,832-555-1089,1,Gold,2023-08-06,True,2023-09-10 15:26:11+00
